Title,Authors,First_Publish_Year,Edition_Count,Subjects,Availability,URL,Cover_URL
Theme Sets. Ice,National Geographic Learning,2006,58,"Planets, Juvenile literature, Exploration, Planètes, Ouvrages pour la jeunesse",Lendable,https://openlibrary.org/works/OL26543324W,https://covers.openlibrary.org/b/id/13021421-M.jpg
Mein Weltbild,"Albert Einstein, Neil Berger",1934,58,"Jews, Jews question, Legal status, laws, Peace, Philosophy",Lendable,https://openlibrary.org/works/OL1214254W,https://covers.openlibrary.org/b/id/5378174-M.jpg
"[Gasoline motor-boat for customs service at Corpus Christi, Texas.]",United States. Congress. House. Committee on Appropriations,1876,57,"Accounting, Appropriations and expenditures, Armed Forces, Armies, Bills, Private",Metadata Only,https://openlibrary.org/works/OL10850294W,N/A
Silent Spring,Rachel Carson,1962,57,"Pesticides, Biological control, Toxicology, Pesticides and wildlife, Insect pests",Metadata Only,https://openlibrary.org/works/OL1884862W,https://covers.openlibrary.org/b/id/3825693-M.jpg
Biology,Neil Alexander Campbell,1987,57,"Biology, Textbooks, Biology textbooks, Biologie, Science textbooks",Lendable,https://openlibrary.org/works/OL1983087W,https://covers.openlibrary.org/b/id/581911-M.jpg
The atmosphere,"Frederick K. Lutgens, Edward J. Tarbuck, Redina Herman, Dennis G. Tasa, Dennis Tasa",1979,56,"Meteorology, Atmosphere, Weather, Textbooks, Textooks",Metadata Only,https://openlibrary.org/works/OL29602W,https://covers.openlibrary.org/b/id/84825-M.jpg
Physics for scientists and engineers,"Paul A. Tipler, Gene Mosca",1990,56,"Physics, Textbooks, Natuurkunde, Physik, Physique",Lendable,https://openlibrary.org/works/OL1984422W,https://covers.openlibrary.org/b/id/1855030-M.jpg
The Nature of the Physical World,Arthur Stanley Eddington,1928,56,"Philosophy, Science, Physics, Sciences, Physique",Readable Online,https://openlibrary.org/works/OL1107462W,https://covers.openlibrary.org/b/id/5971608-M.jpg
Science and education,Thomas Henry Huxley,1893,56,"Addresses, essays, lectures, Education, Science, Study and teaching, Study and teaching (Higher)",Readable Online,https://openlibrary.org/works/OL1102962W,https://covers.openlibrary.org/b/id/5774684-M.jpg
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,1980,56,"Neurology -, Anecdotes, Neurology, Nervous system, Mental Disorders",Lendable,https://openlibrary.org/works/OL1811898W,https://covers.openlibrary.org/b/id/6986188-M.jpg
A short history of nearly everything,Bill Bryson,2003,55,"Science, Popular works, Ciencia, Obras populares, Science, popular works",Lendable,https://openlibrary.org/works/OL74128W,https://covers.openlibrary.org/b/id/12725620-M.jpg
Progress in nucleic acid research and molecular biology,"Waldo E. Cohn, Kivie Moldave",1974,52,"Life Sciences, Molecular Biology, Molecular biology, Acides nucle iques, Nucleic acids",Metadata Only,https://openlibrary.org/works/OL16974146W,https://covers.openlibrary.org/b/id/1099598-M.jpg
The works of Francis Bacon,Francis Bacon,1740,52,"Philosophers, Science, Philosophy, Biography, Conduct of life",Readable Online,https://openlibrary.org/works/OL69455W,https://covers.openlibrary.org/b/id/8235208-M.jpg
Novum organum,Francis Bacon,1620,52,"Early works to 1800, Heat, Induction (Logic), Logic, Methodology",Readable Online,https://openlibrary.org/works/OL69399W,https://covers.openlibrary.org/b/id/5584499-M.jpg
Cosmos,Carl Sagan,1980,52,"Ouvrages de vulgarisation, Astronomie, Astronomy, Popular works, History",Lendable,https://openlibrary.org/works/OL15829966W,https://covers.openlibrary.org/b/id/8283901-M.jpg
Literary works of Leonardo da Vinci,Leonardo da Vinci,1883,51,"Notebooks, sketchbooks, Science, Leonardo, da vinci, 1452-1519, Artists, italy, Aesthetics",Readable Online,https://openlibrary.org/works/OL695407W,https://covers.openlibrary.org/b/id/7139836-M.jpg
Differentiating Instruction with Menus for the Inclusive Classroom,Laurie E. Westphal,2010,50,"Science, study and teaching (elementary), Individualized instruction, Inclusive education, Ability grouping in education, Social sciences, study and teaching (elementary)",Metadata Only,https://openlibrary.org/works/OL21250459W,https://covers.openlibrary.org/b/id/13172450-M.jpg
Recherches sur les substances radioactives,Marie Curie,1903,50,"Radioactive substances, Radioactivity, Commerce, Barter, Radium",Readable Online,https://openlibrary.org/works/OL723624W,https://covers.openlibrary.org/b/id/4406401-M.jpg
Progress in inorganic chemistry,"Henry Taube, Stephen J. Lippard",1983,49,"Inorganic Chemistry, SCIENCE, Chemistry, Inorganic, Chemistry, inorganic",Metadata Only,https://openlibrary.org/works/OL19169979W,https://covers.openlibrary.org/b/id/10798855-M.jpg
The Human Zoo,Desmond Morris,1705,49,"Human behavior, Science, Comparative Psychology, Nonfiction, Behavior",Lendable,https://openlibrary.org/works/OL104152W,https://covers.openlibrary.org/b/id/76492-M.jpg
Longitude,"Dava Sobel, William J. H. Andrewes, Irene Aldasoro Katarain",1995,49,"Royal Society, Harrison timekeepers, Kendall timekeepers, Lunar distance method, Lunar tables",Lendable,https://openlibrary.org/works/OL265465W,https://covers.openlibrary.org/b/id/13654-M.jpg
"Discovery Education Elementary School Science Techbook, National",Discovery Education,2023,48,Science,Metadata Only,https://openlibrary.org/works/OL35788644W,N/A
The principles of science,William Stanley Jevons,1874,47,"Science, Methodology, Logic, Methods",Readable Online,https://openlibrary.org/works/OL4764092W,https://covers.openlibrary.org/b/id/1856506-M.jpg
Fundamentals Of Electricity And Magnetism,McGraw-Hill,2001,47,"Science, Life sciences, Earth sciences, Study and teaching (Middle school), Physical sciences",Lendable,https://openlibrary.org/works/OL14996328W,https://covers.openlibrary.org/b/id/5437853-M.jpg
Sitzungsberichte der Philosophisch-historischen Classe,"Kaiserlichen Akademie der Wissenschaften in Wien, Mathematisch-Naturwissenschaftliche Klasse",1848,47,"Periodicals, Science, Mathematics, Technology, Philology",Readable Online,https://openlibrary.org/works/OL15705000W,https://covers.openlibrary.org/b/id/9629814-M.jpg
The Structure of Scientific Revolutions,"Thomas S. Kuhn, Dennis Holland",1955,47,"Sciences, Histoire, Philosophie, Science, Philosophy",Lendable,https://openlibrary.org/works/OL3259254W,https://covers.openlibrary.org/b/id/6566386-M.jpg
Inquiries into human faculty and its development,Sir Francis Galton,1883,46,"Ability, Eugenics, Psychology, Aptitude, Science",Readable Online,https://openlibrary.org/works/OL3370378W,https://covers.openlibrary.org/b/id/5808049-M.jpg
The Currents of Space,Isaac Asimov,1952,45,"Science fiction, Fiction, science fiction, general, sci-fi, science, space",Metadata Only,https://openlibrary.org/works/OL46385W,https://covers.openlibrary.org/b/id/14616014-M.jpg
"International catalogue of scientific literature, 1901-1914",Royal Society of London,1901,45,"Science, Bibliography, Books, Periodicals, Classification",Readable Online,https://openlibrary.org/works/OL16456531W,https://covers.openlibrary.org/b/id/5752734-M.jpg
"""Surely You're Joking, Mr. Feynman""","Richard Phillips Feynman, Ralph Leighton",1984,45,"Anecdotes, Anecdotes, facetiae, satire, Art, Biography, Humor",Lendable,https://openlibrary.org/works/OL514629W,https://covers.openlibrary.org/b/id/9274698-M.jpg
"The cyclopaedia ; or, universal dictionary of arts, sciences and literature",Abraham Rees,1810,44,"Science, Arts, Literature, Encyclopaedias, Dictionaries",Readable Online,https://openlibrary.org/works/OL24893135W,https://covers.openlibrary.org/b/id/11790256-M.jpg
Zhongguo zao qi ke ji qi kan hui bian,Yasha Jiang,2008,44,"Science, Periodicals, Technology",Metadata Only,https://openlibrary.org/works/OL32337120W,N/A
Conjectures and refutations,"Karl Popper, Michelle Irene, de Launay Marc B., Melitta Mew",1962,44,"Methodology, Theory of Knowledge, Science, Prediction (Logic), Knowledge, Theory of",Metadata Only,https://openlibrary.org/works/OL1984581W,https://covers.openlibrary.org/b/id/267020-M.jpg
The Nation's report card,Anthony D. Lutkus,2001,44,"Reading, Statistics, Ability testing, Science, Study and teaching",Metadata Only,https://openlibrary.org/works/OL23896963W,N/A
What If?,Randall Munroe,1980,44,"Mathematics, Statistics, Miscellanea, Science, Questions and answers",Lendable,https://openlibrary.org/works/OL17095301W,https://covers.openlibrary.org/b/id/9083979-M.jpg
Advances in virus research,"Karl Maramorosch, Frederick A. Murphy",1986,43,"Virology, Research, SCIENCE, Life Sciences, Biology",Metadata Only,https://openlibrary.org/works/OL24320233W,https://covers.openlibrary.org/b/id/5031455-M.jpg
21st Century Nanoscience - a Handbook,Klaus D. Sattler,2019,43,"Public relations, BUSINESS & ECONOMICS / Public Relations, LANGUAGE ARTS & DISCIPLINES / Communication, Nanoscience, Nanosciences",Metadata Only,https://openlibrary.org/works/OL20743382W,https://covers.openlibrary.org/b/id/12437576-M.jpg
Sämtliche Werke,"Johann Wolfgang von Goethe, Peter Huber, Dieter Borchmeyer",1800,43,"Translations into English, Knowledge, Science, German Authors, Biography",Readable Online,https://openlibrary.org/works/OL52444W,https://covers.openlibrary.org/b/id/2476300-M.jpg
Progress in Inorganic Chemistry,Kenneth D. Karlin,2003,42,"Chemistry, inorganic, Inorganic Chemistry, SCIENCE, Chemistry, Inorganic",Metadata Only,https://openlibrary.org/works/OL20438736W,https://covers.openlibrary.org/b/id/9104933-M.jpg
Exploring Science,Mark Levesley,2001,42,"Science, juvenile literature, Science, Science, study and teaching",Metadata Only,https://openlibrary.org/works/OL19322823W,https://covers.openlibrary.org/b/id/13606936-M.jpg
Inspecting post-16,Ofsted.,2001,42,"Agriculture, Art, Beauty operators, Business education, Caterers and catering",Metadata Only,https://openlibrary.org/works/OL12252144W,N/A
Independent Learning Project for Advanced Chemistry,ILEA Chemistry Project Team,1983,41,"Intermolecular forces, Periodic law, Organic Chemistry, Conditions and laws of Chemical reaction, Gases",Lendable,https://openlibrary.org/works/OL9423827W,https://covers.openlibrary.org/b/id/10399238-M.jpg
Collected papers,Ernest Rutherford,1959,41,"Physics, Collected works, Science, Physique",Metadata Only,https://openlibrary.org/works/OL107335W,https://covers.openlibrary.org/b/id/13876592-M.jpg
Classification,Library of Congress. Subject Cataloging Division.,1904,41,"Classification, Books, Library of Congress Classification, Law, Music",Readable Online,https://openlibrary.org/works/OL4398462W,https://covers.openlibrary.org/b/id/6698388-M.jpg
Prose,Johann Wolfgang von Goethe,1854,41,"Science, History and criticism, Literature, Collected works, Translations into English",Readable Online,https://openlibrary.org/works/OL52513W,https://covers.openlibrary.org/b/id/8245283-M.jpg
The Child's Book of Nature: for the use of families and schools : intended to aid mothers and ..,Worthington Hooker,1857,41,"Readers, Juvenile literature, Nature, Science, Plants",Readable Online,https://openlibrary.org/works/OL7099987W,https://covers.openlibrary.org/b/id/6147450-M.jpg
The variation of animals and plants under domestication,Charles Darwin,1868,41,"Cultivated Plants, Variation (Biology), Domestic animals, Nature, Nonfiction",Readable Online,https://openlibrary.org/works/OL515356W,https://covers.openlibrary.org/b/id/9000377-M.jpg
Pride and Prejudice,Jane Austen,1813,4036,"Fiction, Romance, Historical, Regency, British and Irish fiction (fictional works by one author), Brothers and sisters, Courtship, Drama",Readable Online,https://openlibrary.org/works/OL66554W,https://covers.openlibrary.org/b/id/14348537-M.jpg
Alice's Adventures in Wonderland,Lewis Carroll,1865,3546,"Alice (fictitious character : carroll), fiction, British and irish fiction (fictional works by one author), Fiction, fantasy, general, JUVENILE FICTION, classics",Readable Online,https://openlibrary.org/works/OL138052W,https://covers.openlibrary.org/b/id/10527843-M.jpg
The Picture of Dorian Gray,Oscar Wilde,1890,3006,"British and irish fiction (fictional works by one author), Conduct of life, fiction, Fantasy fiction, Appearance (Philosophy), Fiction",Readable Online,https://openlibrary.org/works/OL8193416W,https://covers.openlibrary.org/b/id/14314858-M.jpg
